Time (s),Speed (km/h),Normalized current (A)
61,39.5898624,0.1506764740428216
62,40.0726656,0.12962418326767167
63,40.2336,0.08366530010054826
64,39.5898624,-0.02209767638609918
65,39.428928,0.03583197463604669
66,39.7507968,0.10551887967828993
67,39.9117312,0.08288233839801412
68,39.7507968,0.03621853836937382
69,39.5898624,0.03602234938415221
70,39.5898624,0.05910519423462521
71,40.3945344,0.1771219603517425
72,41.1992064,0.1809561687927785
73,41.360140799999996,0.0863677696740729
74,40.8773376,-0.005904947074023712
75,40.0726656,-0.038653582523301366
76,40.2336,0.08363887161655983
77,40.8773376,0.15597182617272626
78,41.842944,0.2079462176978853
79,41.842944,0.06322175497400956
80,41.360140799999996,-0.005874319413782587
81,42.003878400000005,0.16069554510973325
82,42.969484800000004,0.21402996401109245
83,44.25696,0.27149595516042185
84,46.0272384,0.3615628211793463
85,47.1537792,0.26402010533268394
86,47.9584512,0.21401434993728224
87,48.441254400000005,0.16059073817697547
88,48.924057600000005,0.16245188860894824
89,49.406860800000004,0.16432195762096719
90,49.406860800000004,0.07829891027560745
91,49.084992,0.020278627797207044
92,48.924057600000005,0.048733618592598574
93,48.763123199999995,0.04848673460472017
94,48.924057600000005,0.10572307249825588
95,49.5677952,0.19353466685085072
96,48.924057600000005,-0.024580145086868017
97,48.1193856,-0.044063896547730554
98,47.475648,-0.024328870493101708
99,47.9584512,0.158684359387565
100,48.763123199999995,0.21799129909418882
101,49.406860800000004,0.1928029905221108
102,49.7287296,0.13675561106267012
103,49.889664,0.1083386388800842
104,49.7287296,0.04996788201092049
105,48.924057600000005,-0.04451775806854798
106,47.9584512,-0.0635734915106922
107,48.1193856,0.10355020048016346
108,48.6021888,0.16115520485615023
109,49.406860800000004,0.22123840268086956
110,50.2115328,0.22533315610359986
111,51.1771392,0.2596954218341924
112,51.8208768,0.20372921075400527
113,52.1427456,0.14487209089616143
114,51.8208768,0.023015095057096636
115,51.0162048,-0.045623506234256955
116,46.0272384,-0.5503307367069101
117,40.7164032,-0.5281868040495987
118,35.405568,-0.46478879153484753
119,30.0947328,-0.4007671690079211
120,24.7838976,-0.3361840708010126
121,19.4730624,-0.2711032146115924
122,14.1622272,-0.2055898231438323
123,8.851392,-0.13971055452512382
124,3.5405568,-0.07353344050739015
125,0.0,-0.010335139801429057
126,0.0,0.003957238208922474
127,0.0,0.003957470564466528
128,0.0,0.003957680895945463
129,0.0,0.003957871294946556
130,0.0,0.003958043654778484
131,0.0,0.00395819968921467
132,0.0,0.0039583409494571955
133,0.0,0.003958468839521076
134,0.0,0.003958584630163771
135,0.0,0.003958689471484813
136,0.0,0.003958784404382843
137,0.0,0.0039588703708887995
138,0.0,0.003958948223550079
139,0.0,0.0039590187339031266
140,0.0,0.003959082600184305
141,0.0,0.003959140454254064
142,0.0,0.003959192867921732
143,0.0,0.003959240358639693
144,0.0,0.003959283394666857
145,0.0,0.003959322399738894
146,0.0,0.003959357757307642
147,0.0,0.003959389814343478
148,0.0,0.0039594188848442275
149,0.0,0.003959445252919513
150,0.0,0.003959469175681552
151,0.0,0.003959490885767575
152,0.0,0.0039595105936936735
