,Time (s),Speed (km/h),Normalized current (A)
0,0,0.0,0.0016259036798885972
1,1,0.0,0.0016259070946142951
2,2,0.0,0.001625910210566241
3,3,0.0,0.001625913056181248
4,4,0.0,0.001625915657180166
5,5,0.0,0.0016259180368371731
6,6,0.3218688,0.0017032965638134232
7,7,1.1265408,0.00285122490611902
8,8,1.7702784,0.003728476276457967
9,9,2.7358848,0.0059804469032642416
10,10,9.656064,0.0688536614088472
11,11,22.3698816,0.31678658865959647
12,12,32.991552,0.4619351137977967
13,13,41.360140799999996,0.4947697603005356
14,14,40.2336,-0.029536431918563245
15,15,45.7053696,0.3825715994824582
16,16,51.981811199999996,0.49734414447795555
17,17,55.6833024,0.3374888679589802
18,18,58.74105599999999,0.3038001302452683
19,19,61.79880959999999,0.32129199521446883
20,20,64.2128256,0.27531578328037776
21,21,67.91431680000001,0.42013260025495697
22,22,70.4892672,0.3225526325579504
23,23,71.13300480000001,0.12357153326908533
24,24,69.8455296,-0.05550382265685026
25,25,68.5580544,-0.05489437028425319
26,26,64.85656320000001,-0.21862065093021066
27,27,63.0862848,-0.08396329999366056
28,28,61.79880959999999,-0.051341833214334574
29,29,61.79880959999999,0.04429210739104459
30,30,63.0862848,0.1657978172864985
31,31,62.4425472,-0.009885164957184474
32,32,62.4425472,0.04499314715696442
33,33,58.74105599999999,-0.20005686228145828
34,34,51.981811199999996,-0.3557010200766535
35,35,44.4178944,-0.35029936697345954
36,36,35.8883712,-0.3322547276447657
37,37,27.8416512,-0.24892812343717494
38,38,18.507456,-0.21177971097118345
39,39,9.3341952,-0.12479968240713973
40,40,1.9312127999999997,-0.039435599563415566
41,41,0.0,2.7015347037358175e-05
42,42,0.0,0.001624834807372738
43,43,0.0,0.0016249749523281516
44,44,0.0,0.0016251018058742583
45,45,0.0,0.001625216629068802
46,46,0.0,0.0016253205636441667
47,47,0.0,0.0016254146432456646
48,48,0.0,0.0016254998036080552
49,49,1.2874752,0.0028633818183686622
50,50,14.8059648,0.1689033630275713
51,51,23.9792256,0.2795094387630632
52,52,29.2900608,0.22847483435622037
53,53,35.72743680000001,0.3353202983178796
54,54,43.7741568,0.5101750469433577
55,55,50.5334016,0.5146032202138157
56,56,54.39582719999999,0.34134972557737153
57,57,59.86759680000001,0.514872958360145
58,58,65.66123520000001,0.6002089838293698
59,59,70.811136,0.5880580868278501
60,60,74.51262720000001,0.4665155628764208
61,61,76.6047744,0.30064442990845675
62,62,79.662528,0.42812729288894164
63,63,82.3984128,0.4061319129524973
64,64,85.295232,0.4432583430601293
65,65,87.5483136,0.3736305816674339
66,66,89.4795264,0.3408671995676023
67,67,90.76700160000001,0.25997964777562593
68,68,90.28419840000001,0.019542389252675586
69,69,90.4451328,0.10672406382555012
70,70,89.8013952,-0.0012896027145612827
71,71,88.6748544,-0.046247552344079845
72,72,87.5483136,-0.04626464230317541
