SOC,Chg voltage [V],Dchg voltage [V],OCV [V]
0.0,2.811543,2.7501876,2.7808653
0.001,2.8880739125105994,2.8124828901831225,2.850278401346861
0.002,2.936651817232801,2.8626233156405,2.8996375664366507
0.003,2.9724383657482623,2.9030334846797485,2.9377359252140054
0.004,3.0009413613467233,2.9351371078964603,2.9680392346215916
0.005,3.0256898714164775,2.9619306737190305,2.993810272567754
0.006,3.047584884559291,2.9852494770287232,3.016417180794007
0.007,3.0677617678034195,3.006442930116118,3.0371023489597686
0.008,3.0861206940718544,3.0261406352387477,3.056130664655301
0.009000000000000001,3.1032590455227873,3.044391545396119,3.073825295459453
0.01,3.119155007630035,3.0613500289324374,3.090252518281236
0.011,3.1340705783193252,3.0770093621944667,3.105539970256896
0.012,3.148158396846692,3.0919499096143404,3.120054153230516
0.013000000000000001,3.161608497380647,3.106329449196248,3.1339689732884475
0.014,3.1741480834464353,3.119732335498289,3.146940209472362
0.015,3.1860667747656692,3.132447585877629,3.1592571803216494
0.016,3.197406227664684,3.1445386141126543,3.170972420888669
0.017,3.208197813025695,3.1561021598037473,3.1821499864147214
0.018000000000000002,3.218713,3.167317143294801,3.193015071647401
0.019,3.228698,3.1780163318946575,3.2033571659473288
0.02,3.2384598250847185,3.1883030003867385,3.2133814127357283
0.021,3.24758357116753,3.1982074486655536,3.2228955099165417
0.022,3.25661118111707,3.2078398699417097,3.23222552552939
0.023,3.2650369715082808,3.2168323574446873,3.240934664476484
0.024,3.2737326771080055,3.2259793196241886,3.249855998366097
0.025,3.2816692268320216,3.234431896028651,3.2580505614303363
0.026000000000000002,3.289331398193784,3.2428945198796337,3.266112959036709
0.027,3.2969994118099843,3.251102626913492,3.274051019361738
0.028,3.3043618107719728,3.2589388967926367,3.2816503537823047
0.029,3.3116021168631,3.2667100513610436,3.2891560841120717
0.03,3.3185981422800173,3.2742424354246538,3.2964202888523353
0.031,3.3252741777319943,3.2813192470305266,3.30329671238126
0.032,3.3320038973785757,3.288733170959985,3.3103685341692803
0.033,3.3382952954558536,3.295320338145013,3.3168078168004334
0.034,3.3446084344517777,3.302016627506406,3.323312530979092
